1 + 19 = 
36 + 31 = 
26 + 67 = 
13 + 58 = 
32 + 48 = 
83 + 4 = 
41 + 47 = 
41 + 35 = 
1 + 47 = 
48 + 15 = 
14 + 38 = 
9 + 25 = 
3 + 23 = 
72 + 10 = 
43 + 10 = 
3 + 85 = 
0 + 62 = 
13 + 38 = 
9 + 52 = 
38 + 16 = 
3 + 85 = 
72 + 18 = 
42 + 35 = 
14 + 50 = 
28 + 34 = 
71 + 15 = 
1 + 34 = 
7 + 64 = 
1 + 77 = 
42 + 35 = 
27 + 23 = 
89 + 5 = 
0 + 87 = 
17 + 46 = 
21 + 38 = 
88 + 10 = 
22 + 8 = 
0 + 48 = 
21 + 69 = 
31 + 26 = 
2 + 41 = 
65 + 16 = 
52 + 8 = 
66 + 32 = 
4 + 3 = 
15 + 48 = 
98 + 2 = 
21 + 8 = 
63 + 30 = 
19 + 27 = 
