54 - 14 = 
93 - 12 = 
60 - 48 = 
69 - 24 = 
74 - 50 = 
80 - 67 = 
46 - 19 = 
78 - 52 = 
99 - 81 = 
85 - 15 = 
68 - 0 = 
39 - 19 = 
65 - 8 = 
87 - 44 = 
93 - 24 = 
36 - 31 = 
33 - 23 = 
95 - 74 = 
44 - 40 = 
75 - 10 = 
51 - 50 = 
11 - 6 = 
30 - 16 = 
75 - 44 = 
57 - 35 = 
77 - 1 = 
62 - 20 = 
83 - 7 = 
99 - 54 = 
87 - 70 = 
68 - 14 = 
48 - 0 = 
62 - 12 = 
91 - 13 = 
63 - 34 = 
49 - 22 = 
79 - 53 = 
71 - 42 = 
52 - 16 = 
72 - 41 = 
91 - 81 = 
73 - 36 = 
51 - 45 = 
69 - 56 = 
70 - 32 = 
75 - 57 = 
91 - 80 = 
95 - 27 = 
98 - 26 = 
68 - 62 = 
