64 + 27 = 
46 + 7 = 
1 + 35 = 
16 + 34 = 
8 + 60 = 
9 + 41 = 
33 + 44 = 
1 + 28 = 
13 + 57 = 
36 + 0 = 
23 + 53 = 
23 + 13 = 
68 + 28 = 
84 + 12 = 
11 + 79 = 
87 + 12 = 
15 + 36 = 
6 + 79 = 
36 + 56 = 
73 + 25 = 
58 + 20 = 
1 + 0 = 
0 + 17 = 
9 + 91 = 
80 + 14 = 
77 + 14 = 
33 + 45 = 
9 + 33 = 
22 + 3 = 
75 + 24 = 
26 + 41 = 
12 + 42 = 
25 + 25 = 
1 + 23 = 
38 + 6 = 
14 + 27 = 
80 + 10 = 
5 + 19 = 
2 + 84 = 
0 + 36 = 
3 + 9 = 
5 + 47 = 
50 + 50 = 
23 + 76 = 
11 + 58 = 
16 + 58 = 
19 + 3 = 
7 + 16 = 
32 + 54 = 
15 + 27 = 
