12 + 19 = 
14 + 60 = 
18 + 18 = 
66 + 34 = 
52 + 10 = 
49 + 9 = 
7 + 36 = 
23 + 58 = 
49 + 10 = 
66 + 14 = 
56 + 22 = 
37 + 31 = 
1 + 45 = 
49 + 0 = 
1 + 6 = 
49 + 51 = 
42 + 45 = 
43 + 38 = 
11 + 8 = 
49 + 23 = 
41 + 11 = 
5 + 82 = 
32 + 16 = 
12 + 67 = 
53 + 4 = 
38 + 37 = 
8 + 90 = 
35 + 47 = 
69 + 16 = 
6 + 75 = 
36 + 18 = 
70 + 16 = 
5 + 15 = 
3 + 5 = 
16 + 52 = 
26 + 38 = 
59 + 12 = 
58 + 22 = 
44 + 3 = 
20 + 36 = 
28 + 68 = 
35 + 51 = 
28 + 31 = 
41 + 14 = 
30 + 18 = 
31 + 33 = 
48 + 52 = 
25 + 55 = 
65 + 23 = 
81 + 4 = 
92 + 7 = 
44 + 16 = 
81 + 5 = 
66 + 34 = 
48 + 15 = 
16 + 26 = 
15 + 26 = 
43 + 36 = 
0 + 57 = 
18 + 12 = 
19 + 51 = 
49 + 9 = 
12 + 25 = 
23 + 12 = 
39 + 24 = 
11 + 26 = 
75 + 14 = 
14 + 70 = 
16 + 31 = 
23 + 5 = 
0 + 33 = 
10 + 11 = 
48 + 0 = 
16 + 27 = 
26 + 59 = 
30 + 15 = 
28 + 58 = 
30 + 40 = 
4 + 92 = 
14 + 59 = 
40 + 5 = 
35 + 44 = 
15 + 85 = 
53 + 28 = 
58 + 10 = 
33 + 53 = 
44 + 52 = 
62 + 26 = 
35 + 65 = 
14 + 14 = 
