74 - 74 = 
40 - 18 = 
74 - 74 = 
95 - 51 = 
86 - 17 = 
89 - 12 = 
90 - 48 = 
23 - 13 = 
52 - 14 = 
45 - 41 = 
79 - 22 = 
38 - 18 = 
51 - 14 = 
66 - 8 = 
96 - 63 = 
84 - 4 = 
52 - 45 = 
77 - 72 = 
66 - 61 = 
88 - 65 = 
57 - 54 = 
81 - 54 = 
97 - 36 = 
83 - 41 = 
99 - 87 = 
79 - 30 = 
90 - 41 = 
60 - 31 = 
85 - 61 = 
83 - 61 = 
26 - 19 = 
87 - 1 = 
84 - 24 = 
89 - 88 = 
45 - 19 = 
94 - 38 = 
40 - 31 = 
16 - 3 = 
76 - 67 = 
74 - 20 = 
44 - 39 = 
33 - 8 = 
93 - 10 = 
44 - 14 = 
93 - 86 = 
57 - 30 = 
99 - 11 = 
84 - 54 = 
70 - 45 = 
62 - 7 = 
57 - 37 = 
90 - 6 = 
70 - 28 = 
71 - 23 = 
85 - 50 = 
20 - 18 = 
74 - 34 = 
58 - 4 = 
92 - 8 = 
78 - 0 = 
