35 + 53 = 
8 + 66 = 
83 + 14 = 
61 + 34 = 
63 + 15 = 
62 + 6 = 
55 + 24 = 
51 + 14 = 
15 + 28 = 
14 + 48 = 
13 + 41 = 
49 + 27 = 
58 + 0 = 
11 + 51 = 
37 + 15 = 
29 + 12 = 
20 + 63 = 
2 + 66 = 
8 + 65 = 
9 + 63 = 
25 + 21 = 
11 + 85 = 
1 + 11 = 
46 + 31 = 
4 + 41 = 
21 + 70 = 
52 + 8 = 
4 + 21 = 
20 + 70 = 
38 + 19 = 
31 + 6 = 
59 + 26 = 
27 + 13 = 
1 + 70 = 
30 + 65 = 
29 + 33 = 
0 + 64 = 
29 + 70 = 
46 + 36 = 
31 + 67 = 
65 + 2 = 
19 + 65 = 
23 + 36 = 
17 + 26 = 
6 + 66 = 
29 + 1 = 
79 + 4 = 
42 + 20 = 
26 + 70 = 
71 + 19 = 
4 + 9 = 
40 + 43 = 
13 + 77 = 
57 + 35 = 
22 + 43 = 
11 + 79 = 
89 + 0 = 
54 + 33 = 
44 + 25 = 
36 + 23 = 
11 + 9 = 
25 + 36 = 
50 + 48 = 
61 + 9 = 
7 + 69 = 
74 + 7 = 
33 + 22 = 
29 + 3 = 
18 + 55 = 
28 + 58 = 
10 + 37 = 
14 + 49 = 
94 + 2 = 
55 + 15 = 
64 + 31 = 
19 + 16 = 
49 + 13 = 
6 + 89 = 
52 + 15 = 
33 + 1 = 
