87 - 12 = 
64 - 30 = 
68 - 26 = 
98 - 59 = 
53 - 9 = 
88 - 5 = 
40 - 8 = 
92 - 54 = 
99 - 32 = 
60 - 56 = 
80 - 79 = 
23 - 6 = 
66 - 2 = 
72 - 64 = 
57 - 31 = 
90 - 24 = 
65 - 18 = 
100 - 19 = 
91 - 15 = 
98 - 73 = 
83 - 60 = 
95 - 68 = 
92 - 33 = 
53 - 46 = 
39 - 6 = 
64 - 22 = 
84 - 30 = 
70 - 62 = 
22 - 0 = 
98 - 87 = 
15 - 9 = 
93 - 28 = 
69 - 23 = 
27 - 5 = 
87 - 20 = 
18 - 1 = 
100 - 15 = 
62 - 37 = 
93 - 26 = 
74 - 23 = 
54 - 10 = 
44 - 21 = 
91 - 26 = 
50 - 18 = 
81 - 65 = 
65 - 48 = 
82 - 36 = 
96 - 34 = 
19 - 6 = 
70 - 40 = 
83 - 59 = 
77 - 73 = 
83 - 58 = 
99 - 52 = 
39 - 29 = 
48 - 48 = 
68 - 6 = 
28 - 16 = 
95 - 94 = 
78 - 28 = 
88 - 20 = 
74 - 36 = 
14 - 11 = 
39 - 36 = 
34 - 8 = 
94 - 15 = 
99 - 36 = 
58 - 29 = 
86 - 15 = 
77 - 16 = 
65 - 36 = 
77 - 43 = 
92 - 59 = 
23 - 19 = 
15 - 5 = 
72 - 49 = 
90 - 10 = 
33 - 9 = 
94 - 39 = 
49 - 3 = 
76 - 70 = 
82 - 12 = 
71 - 71 = 
88 - 28 = 
88 - 82 = 
50 - 0 = 
83 - 12 = 
63 - 26 = 
93 - 72 = 
94 - 49 = 
95 - 73 = 
60 - 0 = 
63 - 55 = 
83 - 73 = 
69 - 61 = 
30 - 7 = 
68 - 14 = 
90 - 67 = 
27 - 1 = 
88 - 73 = 
