75 + 4 = 
76 + 11 = 
3 + 10 = 
12 + 18 = 
6 + 0 = 
40 + 31 = 
25 + 14 = 
1 + 86 = 
56 + 42 = 
8 + 37 = 
18 + 2 = 
0 + 22 = 
21 + 41 = 
51 + 21 = 
17 + 2 = 
32 + 3 = 
27 + 1 = 
13 + 70 = 
3 + 55 = 
72 + 15 = 
21 + 11 = 
18 + 37 = 
57 + 43 = 
49 + 33 = 
39 + 44 = 
8 + 35 = 
61 + 5 = 
20 + 67 = 
0 + 46 = 
81 + 18 = 
20 + 28 = 
39 + 19 = 
2 + 25 = 
35 + 18 = 
43 + 43 = 
13 + 49 = 
19 + 19 = 
55 + 32 = 
52 + 2 = 
27 + 68 = 
24 + 66 = 
35 + 1 = 
35 + 56 = 
31 + 11 = 
37 + 50 = 
42 + 17 = 
32 + 68 = 
19 + 29 = 
41 + 43 = 
23 + 47 = 
