78 - 78 = 
75 - 5 = 
80 - 12 = 
77 - 55 = 
17 - 17 = 
77 - 38 = 
92 - 63 = 
31 - 2 = 
43 - 34 = 
29 - 24 = 
91 - 55 = 
61 - 10 = 
78 - 19 = 
36 - 25 = 
72 - 31 = 
91 - 56 = 
56 - 52 = 
49 - 25 = 
80 - 62 = 
66 - 25 = 
50 - 43 = 
24 - 7 = 
5 - 1 = 
98 - 39 = 
29 - 6 = 
91 - 19 = 
55 - 0 = 
53 - 19 = 
53 - 41 = 
50 - 48 = 
79 - 62 = 
50 - 1 = 
72 - 41 = 
83 - 39 = 
53 - 34 = 
97 - 53 = 
34 - 15 = 
92 - 25 = 
75 - 64 = 
58 - 48 = 
99 - 22 = 
63 - 26 = 
71 - 33 = 
38 - 34 = 
82 - 49 = 
32 - 21 = 
78 - 10 = 
85 - 83 = 
44 - 8 = 
46 - 41 = 
42 - 1 = 
54 - 31 = 
35 - 16 = 
82 - 23 = 
25 - 22 = 
53 - 42 = 
57 - 39 = 
95 - 81 = 
88 - 81 = 
67 - 10 = 
