91 + 1 = 
13 + 56 = 
19 + 18 = 
47 + 45 = 
14 + 61 = 
71 + 8 = 
32 + 41 = 
6 + 39 = 
18 + 30 = 
6 + 45 = 
17 + 35 = 
18 + 43 = 
42 + 17 = 
2 + 87 = 
5 + 34 = 
80 + 11 = 
6 + 70 = 
8 + 52 = 
0 + 21 = 
31 + 34 = 
4 + 58 = 
40 + 33 = 
20 + 66 = 
36 + 37 = 
18 + 71 = 
34 + 37 = 
68 + 30 = 
39 + 23 = 
39 + 27 = 
33 + 62 = 
36 + 7 = 
24 + 74 = 
6 + 0 = 
52 + 4 = 
35 + 14 = 
19 + 81 = 
55 + 12 = 
61 + 28 = 
49 + 11 = 
19 + 53 = 
53 + 34 = 
36 + 7 = 
28 + 40 = 
31 + 6 = 
32 + 58 = 
4 + 75 = 
0 + 71 = 
3 + 72 = 
39 + 49 = 
90 + 4 = 
23 + 43 = 
2 + 51 = 
37 + 3 = 
5 + 28 = 
5 + 67 = 
64 + 0 = 
41 + 40 = 
43 + 51 = 
62 + 2 = 
50 + 49 = 
29 + 65 = 
80 + 15 = 
0 + 76 = 
26 + 61 = 
87 + 0 = 
45 + 55 = 
19 + 54 = 
83 + 6 = 
60 + 10 = 
14 + 41 = 
66 + 23 = 
43 + 29 = 
48 + 7 = 
46 + 3 = 
5 + 89 = 
31 + 13 = 
38 + 17 = 
48 + 29 = 
21 + 52 = 
25 + 74 = 
